title,file,object_id,journal,volume,pagees,abstract,author,publisher,date
King Ceolwulf’s land grants to St Cuthbert and their loss in the ninth century,archael547-079-116-ceolwulf.pdf,3226527,Archaeologia Aeliana,Volume 47,Pages 79:116,"The Historia de Sancto Cuthberto makes retrospective claims to lands granted to St Cuthbert and, in some cases, later taken from the church. Sections 8 and 11 refer to lands granted by King Ceolwulf (729–737) and lost around 860. Retrogressive technique is used to reconstruct the geography of these lands, within the widely accepted models of shire and minster organisation, drawing on post-Conquest feudal records. The circumstances under which these and other estates were taken from the church in the 9th century are discussed. It is argued that Lindisfarne’s territorial reach in Northumberland declined from a high point under a partnership between Bishop Ecgred (830–845) and King Eanred (c. 820s–850s) in the 860s in the face of the arrival of the Danish army and the collapse of the Northumbrian state. Some of the place-names of Historia 8 and 11 present problems of identification, where generic elements of the names have proved unstable. Early forms of key names are reviewed and discussed.","O’Brien, Colm|Adams, Max|Whaley, Diana",Society of Antiquaries of Newcastle,2018
The Building of Hadrian’s Wall: a review of 50 years,archael547-005-040-breeze.pdf,3226525,Archaeologia Aeliana,Volume 47,Pages 5:40,"The evidence for the building of Hadrian’s Wall since 1968 is reviewed with assessments offered. The review embraces all elements of the Wall during the reign of Hadrian, and some later aspects and considers the implications for the building programme and the purpose of the frontier.","Breeze, David",Society of Antiquaries of Newcastle,2018
"Westgate Road, Newcastle upon Tyne: Archaeological Investigations at the Former Parcels Office",archael547-041-077-jackson.pdf,3226526,Archaeologia Aeliana,Volume 47,Pages 41:77,"This paper presents the results of archaeological investigations undertaken at the former Parcels Office on Westgate Road, Newcastle upon Tyne, which was conducted in advance of the conversion of the listed railway arches and the construction of a new hotel. The archaeological investigations have provided evidence of activity on the site from the Roman period through to the early twentieth century. This evidence suggests that the site was situated on the periphery of the civilian settlement associated with the Roman fort of Pons Aelius. The site was not intensively occupied until the thirteenth century, a period which included small-scale tanning activities and the beginnings of what would become the fully established Westgate Street. Most significantly, the investigations have shown that significant archaeological remains can still occur, even in the most heavily urbanised areas.","Jackson, David",Society of Antiquaries of Newcastle,2018
An Iron Age bridle bit from the River Tyne,archael547-001-003-croom.pdf,3226524,Archaeologia Aeliana,Volume 47,Pages 1:3,"A complete copper alloy bridle bit was found in the River Tyne just west of Newcastle upon Tyne, probably some time before 1884. It was donated to the Laing Art Gallery in Newcastle, and was accessioned in 1947, although there are no details about exactly when it was donated, or by whom.","Croom, Alexandra",Society of Antiquaries of Newcastle,2018
"Excavations at Half Moon Yard, Bigg Market, Newcastle upon Tyne",archael547-117-154-swann.pdf,3226528,Archaeologia Aeliana,Volume 47,Pages 117:154,"The excavations at Half Moon Yard revealed evidence of activity on site during the Iron Age, with the main phase of occupation on the site being from the 12th to 14th centuries when it was used for light industrial activities and rubbish disposal. The pottery indicates a hiatus in activity on the site in the late medieval period until it again becomes the focus of industrial activity and rubbish disposal from the 17th century onwards. Intriguingly this included possible evidence for dog butchery from a pit dated to the 17th century.","Swann, Natalie",Society of Antiquaries of Newcastle,2018
"The Custom House, Quayside, Newcastle upon Tyne",archael547-223-254-custom_house.pdf,3226531,Archaeologia Aeliana,Volume 47,Pages 223:254,"The Custom House, completed in 1767, occupies a prominent position in the centre of the Quayside in Newcastle upon Tyne. Customs collections began in Newcastle in 1203; by 1604 a Custom House was recorded to the east of the Guildhall. The Custom House of 1767 was extended and refronted by Sydney Smirke in 1833, and expanded in the twentieth century to incorporate former brewery offices. It remained in use as a Custom House until 1998, and was acquired and renovated by Trinity Chambers in 2003. This article draws upon documentary sources to reconstruct the history of the Customs collection in Newcastle from the thirteenth to the twentieth centuries, and the ownership of the Custom House site from the fifteenth century to the present day. This evidence highlights the involvement of Tynemouth Priory in medieval land reclamation, possibly a tactic in its legal dispute with Newcastle authorities over port locations on the Tyne, and identifies the architect William Newton (1730–98) as the designer of the new Custom House of 1767.","Pears, Richard|Purdue, A",Society of Antiquaries of Newcastle,2018
Uncovering a Georgian murder scene: the excavation of a Northumberland quilter’s cottage,archael547-255-270-quilter.pdf,3226532,Archaeologia Aeliana,Volume 47,Pages 255:270,"In September 2015, an archaeological excavation was undertaken by Beamish Museum to identify remains of a cottage known as ‘Homer’s House’, near Warden, Northumberland. The cottage had previously been occupied by Joseph Hedley, a professional quilter who was murdered in 1826. These works were commissioned as part of the ‘Remaking Beamish’ project, funded by the Heritage Lottery. The excavation succeeded in identifying three of the building’s four walls, its internal flagstone flooring and brick-built fireplace, a detailed sequence of contexts relating to the cottage’s demolition,and a substantial number of artefacts. The work will form the basis of a recreation of the cottage at Beamish Museum and also provides an excellent understanding of the archaeological remains of one of the best recorded eighteenth-century small vernacular dwellings in the region. The full report for the excavation will be deposited with Northumberland County Council in due course.","Castling, John|Woolford, Clara",Society of Antiquaries of Newcastle,2018
"27 Close, Newcastle upon Tyne: Archaeological Investigation, 1994",archael547-155-199-nolan.pdf,3226529,Archaeologia Aeliana,Volume 47,Pages 155:199,"This report describes a small excavation undertaken in advance of landscaping on the south side of the Close, adjacent to the High Level Bridge, and bounded on the west by a lane formerly known as Javel Group. Despite significant disturbance from cellaring associated with the post-medieval Cannon Inn, the remains of presumed medieval wharfage structures was revealed, extending southward over the river foreshore and dating to the late twelfth–thirteenth centuries. A small quantity of residual Roman material recovered from probable reclamation deposits is suggested to derive from medieval terracing into the bank on the north side of the Close.","Nolan, John|Vaughan, Jenny",Society of Antiquaries of Newcastle,2018
"An Investigation of the Design and Evolution of the Rothley Lakes Landscape, Wallington, Northumberland",archael547-201-221-newman.pdf,3226530,Archaeologia Aeliana,Volume 47,Pages 201:221,"The tercentenary of the birth of Lancelot ‘Capability’ Brown was in 2016. To help mark the anniversary, archaeological desk-based research, survey and excavations were carried out at Rothley High Lake on the Wallington estate in Northumberland. The estate has close associations with Brown, who was born at nearby Kirkharle. The project examined the nature of the neglected designed landscape at the lake and helped to untangle the story behind the creation of the designed landscape around the High Lake. Even though Brown is known to have designed the adjacent Low Lake, no direct involvement with Brown was found at the High Lake, despite the lake’s ‘Brownian’ style. Even so, Rothley High Lake and its environs was part of an appreciation of landscape based on movement and experiencing scenery from both land and water.","Newman, Caron",Society of Antiquaries of Newcastle,2018
"Excavating the Wear Flint Glass Works, Lisburn Terrace, Sunderland",archael547-271-305-wear_glass.pdf,3226533,Archaeologia Aeliana,Volume 47,Pages 271:305,"In 2011, an open-area excavation was undertaken on the site of the Wear Flint Glass Works, Sunderland. This glassworks operated throughout the late nineteenth and twentieth centuries, and was initially engaged in the production of pressed-glass vessels and then, from 1921 onwards, PYREX goods. The excavation exposed the remains of seven glass furnaces, which reflect both the historical development of the works and, more generally, the technological advances in glass-furnace design during the latter half of the nineteenth and early part of the twentieth centuries. Detailed scientific analysis of glassworking debris has provided insights into the manufacture of twentieth-century glass.","Gregory, Richard|Dungworth, D.|Wild, Chris|Miller, Ian",Society of Antiquaries of Newcastle,2018
"Late Glacial Site Prospection by Test Pit Survey at Bradgate Park Lawns, Newtown Linford",2022_96_001_012_Cooper_Garton.pdf,3253314,Transactions of the Leicestershire Archaeological and Historical Society,Volume 96,Pages 1:12,"A field survey was conducted at Bradgate Park Lawns in September 2021 as a component of a National Lottery Heritage Fund (NLHF)-funded collaborative project linking three Late Upper Palaeolithic sites in the East Midlands: at Farndon Fields, Bradgate Park and Creswell Crags. This project follows the Ice Age Journeys initiative under the umbrella of the Ice Age Insights charity that promotes community engagement in Palaeolithic archaeology and geology in the East Midlands (registered charity number 1169575). Fieldwork was undertaken by members of the partnership and volunteer fieldworkers, with fieldwork coordination by Lynden Cooper and Daryl Garton, with additional archaeological expertise provided by Prof Nick Barton and Alison Roberts, geological expertise provided by Colin Baker and Richard Tyndall, and pottery expertise by David Budge. Fieldworkers came from the Bradgate Park Trust staff and volunteers, Creswell Heritage Trust staff, Leicestershire Fieldworkers and members of the Farndon (FARI) group. A video of the fieldwork can be viewed at tinyurl.com/BradgateLawns","Cooper, Lynden|Garton, Daryl|Baker, Colin|Budge, David|Ross, Ian|Tyndall, Richard",Leicestershire Archaeological and Historical Society,2022
